Sustantivos,sustantivos
Aguacate,aguacate
Avión,avion
Amor,amor
Anillo,anillo
Árbol,arbol
Administración,administracion
Araña,araña
Abeja,abeja
Automóvil,automovil
Academia,academia
Arte,arte
Arquitectura,arquitectura
Animación,animacion
Agronomía,agronomia
Astronomía,astronomia
Ambiente,ambiente
Archivo,archivo
Asesoría,asesoria
Ambulancia,ambulancia
Anuncio,anuncio
Átomo,atomo
Almacén,almacen
Asfixia,asfixia
Asma,asma
Alga,alga
Arrecife,arrecife
Arroyo,arroyo
Acantilado,acantilado
Archipiélago,archipielago
Arena,arena
Balón,balon
Botella,botella
Biología,biologia
Biografía,biografia
Barba,barba
Beso,beso
Basílica,basilica
Barco,barco
Bolsa,bolsa
Bufanda,bufanda
Bota,bota
Bicicleta,bicicleta
Ballena,ballena
Bandera,bandera
Biberón,biberon
Bachillerato,bachillerato
Beneficio,beneficio
Boda,boda
Boca,boca
Bocina,bocina
Banco,banco
Billetera,billetera
Beca,beca
Bosque,bosque
Bueno,bueno
Basura,basura
Bingo,bingo
Belleza,belleza
Casa,casa
Calabaza,calabaza
Cazo,cazo
Cera,cera
Ciencia,ciencia
Cena,cena
Cebolla,cebolla
Calidad,calidad
Carta,carta
Cultura,cultura
Cereza,cereza
Computadora,computadora
Celular,celular
Calendario,calendario
Clima,clima
Canción,cancion
Canasta,canasta
Consejo,consejo
Capital,capital
Comunicación,comunicacion
Colegio,colegio
Colegiatura,colegiatura
Correo,correo
Campus,campus
Consenso,consenso
Coco,coco
Cocina,cocina
Cirugía,cirugia
Cirujano,cirujano
Comunidad,comunidad
Cubo,cubo
Colono,Colono
Contabilidad,contabilidad
Cuatrimestre,cuatrimestre
Comercio,comercio
Cuerpo,cuerpo
Comerciante,comerciante
Chamarra,chamarra
Calculadora,calculadora
Camisa,camisa
Camiseta,camiseta
Corona,corona
Carrera,carrera
Convenio,convenio
Compra,compra
Comprar,comprar
Crédito,credito
Cola,cola
Cara,cara
Discurso,discurso
Declarar,declarar
Dentífrico,dentifrico
Dentista,dentista
Diente,diente
Doctor,doctor
Documento,documento
Director,director
Durazno,durazno
Doncella,doncella
Dados,dados
Dinero,dinero
Diseño,diseño
Digital,digital
Duende,duende
Diseñador,diseñador
Dinosaurio,dinosaurio
Diamante,diamante
Democracia,democracia
Dorso,dorso
Donación,donacion
Duque,duque
Domingo,domingo
Delantal,delantal
Decano,decano
Dulce,dulce
Defensa,defensa
Decálogo,decalogo
Deseo,deseo
Dominó,domino
Derramar,derramar
Detallar,detallar
Divisa,divisa
Dormir,dormir
Dadaísmo,dadaismo
Delfín,delfin
Deporte,deporte
Elefante,elefante
Espejo,espejo
Enchufe,enchufe
Embudo,embudo
Estrella,estrella
Erizo,erizo
Economía,economia
Ecología,ecologia
Emprendimiento,emprendimiento
Equipo,equipo
Escoba,escoba
Escalera,escalera
Educación,educacion
Estudio,estudio
Estudiar,estudiar
Estudiante,estudiante
Empleo,empleo
Escuela,escuela
